sentence,sense,kinds,music,form,language,aesthetics,instances,pos,modified_noun,dep_parse
des belles à paris et il y en a de plus de toits cent que je pourrais compter et saulër déclarent hautement que ce goût baroque peut être suisse nullement français et par conséquent contre nature .,other,aesthetics,-,-,-,goût,1764g,adjective,goût,amod
il paraît même que cette méthode se pratique dans quelques églises où l'on substituë par un goût baroque et male entendu plusieurs colifichets entassés les uns sur les autres aux plus excellents morceaux de nos grand maîtres qui ont pris tant de soins à nous représenter avec force et élégance les plus saints mystères de notre reglion .,other,aesthetics,-,-,-,goût,1763o,adjective,goût,amod
l'étude assidue que le sieur caffieri a faite en italie des bonnes formes de l'antique donne lieu d'espérer que l'on verra reparoître dans les six chandeliers et la croix qu'il fait actuellement le vrai goût des ornements auquel avoit succédé en dépit de la nature un goût baroque dont les productions irrégulières ne resemblent à rien .,other,aesthetics,-,-,-,goût,1760a,adjective,goût,amod
nous remarquerons en deux mots au sujet de ce dernier article que le goût baroque qui y a été poussé jusqu'à l'excès est la honte de l'art que le plus pitoyable dessinateur peut y exceller .,other,aesthetics,-,-,-,goût,1767j, 1768r,adjective,goût,amod
on dit en termes de peinture qu'une figure un tableau sont dans le goût baroque .,other,aesthetics,-,-,-,goût,1768h,adjective,goût,amod
on ne dira pas un baroque goût mais un goût baroque .,other,aesthetics,-,-,-,goût,1768h,adjective,goût,amod
on y retrouve toujours le goût baroque du p guarini .,other,aesthetics,-,-,-,goût,1769_s, 1769w,adjective,goût,amod
petersbourg seraient ils tous sur le même ton également d'un goût baroque tandis que le dieu du goût musical n'aurait d'autre autel que le théâtre de l'opera français .,other,aesthetics,-,-,-,goût,1764g,adjective,goût,amod
s'il est quelques esprits froids quequels âmes paresseuses qui tiennent encore au goût baroque des nos pères et qui veuillent à toute force rire à la comédie qu'ils écoutent ces barbares ce que leur adresse l'auteur du roué vertueux .,other,aesthetics,-,-,-,goût,1769u,adjective,goût,amod
mais ce goût baroque ne dura guère .,other,aesthetics,-,-,-,goût,1770q,adjective,goût,amod
mais le tout est construit ou fait dans le goût le plus baroque .,other,aesthetics,-,-,-,goût,1776j,adjective,goût,amod
à manille ce beau métal ne sert qu'au luxe les habitans en chargent leurs habits et leurs carrosses dans un goût tout-à-fait baroque et comique .,other,aesthetics,-,-,-,goût,1781t,adjective,goût,amod
elle est d'un goût baroque .,other,aesthetics,-,-,-,goût,1788_bc,adjective,goût,amod
en vérité c'est un goût bien baroque .,other,aesthetics,-,-,-,goût,1784xd,adjective,goût,amod
il santa ou saint antoine de padoue est une très vieille église à six coupoles d'un goût tout aussi baroque que celle de saint marc à venise à laquelle on la compare .,other,aesthetics,-,-,-,goût,1780h,adjective,goût,amod
j'avais satisfait le goût baroque de mes compatriotes dont je recevais les compliments en riant et je mourais d'envie de hâter la réforme jusqu'au bout .,other,aesthetics,-,-,-,goût,1787d,adjective,goût,amod
juste aurele meissonnier architecte et décorateur dans le goût baroque d'après lui même .,other,aesthetics,-,-,-,goût,1787q,adjective,goût,amod
on a donné à cette espèce de travail le nom de goût baroque .,other,aesthetics,-,-,-,goût,1786ck,adjective,goût,amod
on en est enfin venu à ce point de corruption qu'on a pratiqué sur les façades des édifices de ces ornements fantasques de ces enroulements du goût baroque que les gravures françaises et allemandes ont cherché à perpétuer .,other,aesthetics,-,-,-,goût,1781e, 1789b,adjective,goût,amod
pour françois de cuvilliés il a publié des ornements d'architecture dans le goût baroque et il n'a pas peu contribué par ses gravures à répandre de toutes parts ce mauvais goût surtout en allemagne .,other,aesthetics,-,-,-,goût,1787q,adjective,goût,amod
sept pièces de fantaisie dans le goût baroque gravées par lespilliez .,other,aesthetics,-,-,-,goût,1787q,adjective,goût,amod
ce goût baroque est d'autant plus difficilee à concevoir que l'usage de la préparation en question n'est pas sans danger .,other,aesthetics,-,-,-,goût,1791xh,adjective,goût,amod
ces deux pièces sont composées dans le goût baroque .,other,aesthetics,-,-,-,goût,1794f,adjective,goût,amod
en vérité disait-elle je ne te conçais pas si décidément tu as pris un goût si baroque pourquoi s'adresser à moi .,other,aesthetics,-,-,-,goût,1799f,adjective,goût,amod
entre ces interstices remplies de figures et sur la bor dure de ces tableaux on a pratiqué des ornements singuliers d'un goût très baroque .,other,aesthetics,-,-,-,goût,1793d,adjective,goût,amod
j'aime mieux sans faire dédit a votre goût baroque si j'excite votre appétit .,other,aesthetics,-,-,-,goût,1793_wd,adjective,goût,amod
ornements d'architecture dans le goût baroque .,other,aesthetics,-,-,-,goût,1797b,adjective,goût,amod
point il y est accusé d'un goût extrêmement baroque et ne peut y retourner .,other,aesthetics,-,-,-,goût,1797c,adjective,goût,amod
si quelques uns de nos voyageurs avaient rencontré cette jolie créature dans l'une des deux indes une telle bigarrure de tels ornements eussent paru dignes de figurer parmis les raretés de nos curieux d'europe et les érudits auraient longuement disserté sur le goût baroque des ces peuple incivilisés .,other,aesthetics,-,-,-,goût,1794h, 1799r,adjective,goût,amod
entre ces séparations remplies des figures et sur la bor dure de ces tableaux on a pratiqué des formes et des ornements d'un goût très baroque .,other,aesthetics,-,-,-,goût,1788z, 1792j,adjective,goût,nsubj
huit sujets de danse joueur d'instrument genre baroque peint en mignature d'un beau faire .,other,aesthetics,-,-,-,genre,1778_wo,adjective,genre,amod
quelques artistes se sont élevés contre ce genre baroque mais la multitude ignorante a conservé ses préjugés et suivi le torrent .,other,aesthetics,-,-,-,genre,1774_s, 1774_wa, 1787t,adjective,genre,amod
le duc de caravita a fait exécuter en pierres les ornements les plus absurdes du genre baroque dans un jardin situé à côté du château royal .,other,aesthetics,-,-,-,genre,1781e, 1789b,adjective,genre,amod
les lettres n'étant faites que pour l'amusement des peuples ce genre baroque y contribuait tout aussi bien que les genres à prétention .,other,aesthetics,-,-,-,genre,1786,adjective,genre,amod
il est vrai qu'il a l'accent un peu baroque aussi bien que nous .,other,-,-,-,-,-,1749d, 1784a, 1789_wa,adjective,accent,amod
leur accoutrement est aussi baroque que celui des autres nations sauvages .,other,-,-,-,-,-,1794_bd,adjective,accoutrement,nsubj
l'on dira de l'adjectif arke-kayé ce qu'on aura déjà dit d'arki-kaye c'est à dire qu'il est dur et baroque .,other,-,-,-,-,-,1788f,adjective,adjectif ,-
mais ces airs peuvent aussi n'avoir de sens que par le souvenir des paroles comme dans l'autre exemple où l'air insignificant et baroque ne fait que déplaire à l'oreille s'il on ne se rappelle pas que dans une situation semblable on a entendu sur ce même air la mère dire à sa fille .,other,-,-,-,-,-,1791a,adjective,air,-
on appelle un homme de goût un homme qui sait les vaudevilles du temps et qui les a de la première main qui fait quelquefois une parodie sur un air baroque que la protection d'une femme a mis à la mode .,other,-,-,-,-,-,1746b, 1748ka, 1755xxb, 1757d, 1759k, 1763_a, 1769_a,adjective,air,amod
après quoi un chanteur aussi du premier ordre nous heurla avec des nazonnemens insupportables l'air le plus mélancoliquement baroque qu'il soit possible d'entendre .,other,-,-,-,-,-,1750_p, 1753l,adjective,air,amod
on s'embarrasse très peu que le pièce soit bonne ou mauvaise pourvû qu'en sortant du spectacle et en pirouettant sur un talon rouge on puisse frédonner quelques mesures d'un air bien baroque qui n'ait pas la moindre analogie avec les paroles .,other,-,-,-,-,-,1768b,adjective,air,amod
il chante l'air le plus baroque et le plus ancien .,other,-,-,-,-,-,1786e, 1788ic,adjective,air,amod
amas baroque et cahos éblouissant d'esprit et de pointes .,other,-,-,-,-,-,1736_bc, 1752o,adjective,amas,amod
après cet argument baroque chacun opine de la toque .,other,-,-,-,-,-,1746e, 1752n, 1756za, 1765l, 1771n, 1774za, 1775t, 1783x, 1783za,adjective,argument,amod
ces trois termes font un argument baroque auquel un sauvage n'est pas en plus état de résister qu'un huguenot .,other,-,-,-,-,-,1740oi,adjective,argument,amod
adieu m le démonstrateur avec votre démonstration je vous jure que si vous avez voulu me démonstrer la confusion de vos idées et le néant de votre système vous avez parfaitement réussi dans votre argument baroque que vous venez afficher ici pour une démonstration .,other,-,-,-,-,-,1752s,adjective,argument,amod
lorsque je voyais que le sommeil allait rallentir leur feu je poussais de mon palanquin un argument aussi baroque que leurs faces .,other,-,-,-,-,-,1771d,adjective,argument,amod
mais quel arrangement baroque dans ces expressions .,other,-,-,-,-,-,1774o,adjective,arrangement,amod
cet arrangement baroque fut accepté .,other,-,-,-,-,-,1789l,adjective,arrangement,amod
ne vois tu pas qu'on se moque et que ton aspect baroque n'offre plus rien qui ne choque richelieu fuis enfin .,other,-,-,-,-,-,1775a, 1776, 1776a, 1778mb,adjective,aspect,amod
le tout forme un assemblage monstrueux et baroque d'une mauvais style d'un mauvais effet et qui ne répond nullement à l'idée de ces superbes tombeaux dont les argigentins se plaisaient à embellir leur ville .,other,-,-,-,-,-,1785ls,adjective,assemblage,-
pour former de mes traits le baroque assemblage le pinceau le plus sur n'aurait fait que blanchir .,other,-,-,-,-,-,1750o,adjective,assemblage,amod
je défie qu'on imagine un assemblage plus baroque .,other,-,-,-,-,-,1774e,adjective,assemblage,amod
la maison du gouverneur est un assemblage baroque d'édifices bâtis les uns après les autres et de divers ordres d'architecture .,other,-,-,-,-,-,1779b,adjective,assemblage,amod
de ses rêves dit-on l'assemblage baroque n'attaque rien de grave une ville une époque un type de médaille un vers grec ou latin .,other,-,-,-,-,-,1784o,adjective,assemblage,amod
au surplus une ortographe ridicule et une composition bizarre forment tout ce qu'il y a de remarquable dans cet ouvrage où comme dans les autres productions de m de la bretonne l'auteur n'a été que baroque en se persuadant qu'il était original .,other,-,-,-,-,-,1784b, 1788bn, 1789_a,adjective,auteur,nsubj
deux magnifiques plats profonds à bords bruns contournés en dedans un compartiment ovale où l'on voit au pied d'une montagne en cascade sur une eau agitée un vaisseau japonois avec figures du reste de très belles perspectives en paysages arbres et fleurs le bord baroque et étoffé en dehors à noeuds légers le tout d'une couleur vive supérieurement dessiné et d'une ordonannce toute particulière .,other,-,-,-,-,-,1770_wo,adjective,bord,amod
huit plats profonds à l'arbre au poivre le bord baroque à fleurs très beaux l'un endommagé .,other,-,-,-,-,-,1770_wo,adjective,bord,amod
un très beau plat à poisson profond à bord baroque émaillé et plat en dedans une compagnie chinoise avec barrières fleurs et ornements .,other,-,-,-,-,-,1770_wo,adjective,bord,amod
une autre un peu plus grande à paons fleurs et ornements de relief à bandes d'or et de bleu le bord baroque .,other,-,-,-,-,-,1770_wo,adjective,bord,amod
une garniture de trois pièces consistant en une urne et deux cornets à six compariments avec bouquets oiseaux arbres et fleurs le bord baroque à dentelle et broderie l'urne est endommagée .,other,-,-,-,-,-,1770_wo,adjective,bord,amod
écoutez vieille guenon c'est belphegor que j'invoque pour décrire la bicoque du caractère baroque que vous a donné pluton .,other,-,-,-,-,-,1758g, 1777c, 1785_a, 1785o, 1787p, 1788o, 1797l,adjective,caractère,amod
c'est un caractère baroque .,other,-,-,-,-,-,1768h,adjective,caractère,amod
avec un caractère aussi baroque qu'est le tien on ne peut ni te donner des avis ni te plainder ni te souhaiter un herueux succès .,other,-,-,-,-,-,1780y,adjective,caractère,amod
quelque censeur baroque qui demande du goût de la précision et de la vrai semblance par tout trouvera peut-être cette exhortation beaucoup trop longue pour un mourant .,other,-,-,-,-,-,1750_o, 1751h, 1769xxa, 1770m, 1771_a, 1781p,adjective,censeur,amod
amelot qui le savait bien lui demanda pourquoi il ne s'était pas contenté de censurer en gros quelques propositions de quesnel au lieu de faire une censure baroque de cent et une .,other,-,-,-,-,-,1791c,adjective,censure,amod
nous y vîmes une cérémonie baroque .,other,-,-,-,-,-,1768h,adjective,cérémonie,amod
naturel se dit encore de tout chant qui n'est ni forcé ni baroque qui ne va ni trop haut ni trop bas ni trop vite ni trop lentement .,other,-,-,-,-,-,1766q, 1768l, 1769j, 1774_k, 1781d, 1782_wk, 1782d, 1782f, 1785_wo, 1793h, 1796_af,adjective,chant,-
s'ils voulaient dénaturer leur chant ils le rendraient dur baroque et presque inchantable .,other,-,-,-,-,-,1753, 1753xxe, 1760, 1761, 1762a, 1764h, 1766, 1769_ac, 1772h, 1775_wo, 1776s, 1776v, 1781q, 1782y, 1786s, 1792_ag, 1792b, 1793_ac, 1796_ag,adjective,chant,-
on n'y voit point ces hymnes d'un chant lourd baroque .,other,-,-,-,-,-,1772q,adjective,chant,-
les unes trouvaient son chant plat et commun les autres welche et baroque .,other,-,-,-,-,-,1781g,adjective,chant,-
mais ce si comme dissonance mineure ne pouvant se porter qu'au la b amenait un chant difficilee et baroque tel que celui de p vito en cet endroit .,other,-,-,-,-,-,1781xh,adjective,chant,-
admirable dans un petit nombre de scènes mauvais presque partout ailleurs ce qui est peut-être autant la faute du genre que la sienne car c'est souvent pour avoir trop voulu s'asservir à la déclamation qu'il a rendu son chant baroque et ses transitions dures .,other,-,-,-,-,-,1752_bc, 1764h, 1769_ac, 1770n, 1772h, 1775_wo, 1776s, 1783u, 1784t, 1786ia, 1786xe, 1789t, 1793_ad, 1793_ag,adjective,chant,amod
car c'est souvent pour avoir trop voulu s'asservir à la déclamation qu'il a rendu son chant baroque et ses transitions dures .,other,-,-,-,-,-,1776v,adjective,chant,amod
le tout fut accompagné par une musique ou chant chinois fort baroque et des plus désagréables quoique cadencé ou mesuré et qu'ils exécuterent principalement devant la couleuvre en lui faisant faire en même temps différents mouvements très singuliers .,other,-,-,-,-,-,1779j, 1780f,adjective,chant,amod
un oiseau dont la voix est rauque peut il d'un chant aussi baroque vous faire ouir de médiocres sons .,other,-,-,-,-,-,1796_wa, 1796c,adjective,chant,amod
les uns trouvaient son chant plat et commun les autres welche et baroque .,other,-,-,-,-,-,1776_wi, 1777r,adjective,chant ,-
elle n'aurait pas été capable de faire un choix si baroque .,other,-,-,-,-,-,1781x, 1784_q, 1784xc, 1788v, 1796_q,adjective,choix,amod
une chose aussi baroque ne peut être regardée que comme un caprice ou un rêve d'architecte que l'on n'aurait pas hazardé dans un palais .,other,-,-,-,-,-,1769_s, 1769w,adjective,chose,amod
il y aurait encore bien d'autre choses à apprendre à m m comme à ne pas faire de comparaison aussi baroque que celle d'un médecin et son malade avec un cocher et ses chevaux à se désier de ses idées auprès des malades à disserter moins et à s'entendre mieux .,other,-,-,-,-,-,1787xh,adjective,comparaison,amod
si la comparaison baroque du médecin de saint germain avec le médecin de cos faite au même endroit était proposable ce ne pourrait être à cause de la médecine originale du premier .,other,-,-,-,-,-,1786xu,adjective,comparaison,amod
deux fort grandes bouteilles rondes à goulots cylindriques montées de couvercles et de pieds de cuivre de la chine avec trois compartiments baroque le dragon volant et ornements l'une est endommagée .,other,-,-,-,-,-,1770_wo,adjective,compartiment,amod
deux fort jolies grands caffetières à douze compartiments le tout baroque et d'un goût singulier .,other,-,-,-,-,-,1770_wo,adjective,compartiment,amod
termes prétieux que l'on ne prononce point sans pincer les lèvres assortiments monstrueux des grotesques de la néologie et le comportement baroque le métalent ridicule la bouffissure éfarée du jargon à la mode .,other,-,-,-,-,-,1737g,adjective,comportement,amod
la composition de ce jeune anglois eût elle été moins défecteuse et moins baroque si ce qu'il mit d'anglois en français d'une façon si ridicule il l'avait mis d'anglois en latin selon l'usage des écoles .,other,-,-,-,-,-,1751k,adjective,composition,-
la composition était négligée baroque même française .,other,-,-,-,-,-,1756r,adjective,composition,-
il croira cette pièce de poésie d'une composition aussi baroque que décousue .,other,-,-,-,-,-,1771v, 1799n,adjective,composition,amod
j'avoue cependant que dans cette baroque composition il se rencontre par fois des passages extrémement plaisants qui méritent même d'être recherchés .,other,-,-,-,-,-,1794_bg,adjective,composition,amod
je lui dirai ma façon de penser avec modération et je me dirai que je ne dois pas être excepté de la nombreuse classes de ceux qui fonts des ingrats quoiqu'il en soit voilà une bonne affaire finie que l'acuittement de ce compte baroque .,other,-,-,-,-,-,1798m,adjective,compte,amod
ils exécutaient des morceaux très difficilees sans clopiner le moins du monde et l'entrepreneur de ce concert baroque me dit qu'il se faisait fort de styler en six mois par la méthode en question quarante sujets qui ne fussent pas la musique en fixant l'attention du monotone à un seul ton à exécuter à livre ouvert les morceaux de musique les plus difficilees .,other,-,-,-,-,-,1776q,adjective,concert,amod
je suis persuadé qu'il n'y eut tout au plus que quelques vieilles qui trouverent bonne cette consequence et que toutes les jeunes au contraire auraient souhaité de tout leur coeur de faire une fréquente expérience du principe dont le prédicateur avait tiré sa conclusion baroque .,other,-,-,-,-,-,1742i,adjective,conclusion,amod
je ne crois pas qu'il puisse y avoir une construction plus baroque que celle de ces vers .,other,-,-,-,-,-,1772u,adjective,construction,amod
la bonne grace du pitaut reparait assez le défaut de sa construction baroque et les peu séduisants appas du nez camus n'invitaient pas a profiter de l'équivoque .,other,-,-,-,-,-,1783b, 1785a, 1787e,adjective,construction,amod
il est d'une construction assez baroque et composé de trois frontons .,other,-,-,-,-,-,1791,adjective,construction,amod
il est représenté planche i il est d'une construction assez baroque et composé de trois frontons .,other,-,-,-,-,-,1790g,adjective,construction,amod
plus vivement du tien offre encore la même faute c'est une construction baroque .,other,-,-,-,-,-,1793cca, 1793n,adjective,construction,amod
dites vous monsieur de ce conte baroque .,other,-,-,-,-,-,1785b, 1786lk, 1790v,adjective,conte,amod
d'où l'on pourait conclure qu'il aurait trompé ce prince qu'il se serait moqué de lui en lui faisant présent d'un copie aussi baroque aussi informe .,other,-,-,-,-,-,1753dh,adjective,copie,amod
malgré l'aspect général de la rudesse de la multitude le costume baroque un peu cynique .,other,-,-,-,-,-,1797u,adjective,costume,amod
son air sournois son ton malin sa barbe épaisee et noire ses cheveux crépus et en désordre sa taille courte ramassée et nerveuse son costume baroque sans être délabré tout cela ne lui donnait pas mal de ressemblance avec les honnêtes compagnons de la caverne de gilblas .,other,-,-,-,-,-,1799q,adjective,costume,amod
et leur couch fort baroque ressemble à celle des silex entre les couches de craie .,other,-,-,-,-,-,1792n,adjective,couch,amod
de là il tombe à corps perdu comme du troisième ciel sur son prêche qui n'est qu'une course baroque par monts et par vaux .,other,-,-,-,-,-,1750,adjective,course,amod
les suisses ont donc grand tort de défigurer leurs femmes par une coutume aussi baroque .,other,-,-,-,-,-,1771l, 1771o, 1772er, 1784jja,adjective,coutume,amod
son croquis baroque me fit rire à mon tour .,other,-,-,-,-,-,1755q, 1756tu,adjective,croquis,amod
rosanie est dans le genre de la féerie et avec tout l'appareil du merveilleux ne présent qu'une intrigue très commune et un dénouement baroque dénué de sens commun .,other,-,-,-,-,-,1781c, 1784e,adjective,dénouement,amod
refusons plutôt au grecs toute espèce d'harmonie que de leur attribuer une désinence harmonique de cette espèce désinence plus baroque que notre ton du quart et notre tierce de picardie .,other,-,-,-,-,-,1791a,adjective,désinence,amod
on y remarque surtout les chapiteaux et les bases des colonnes qui sont d'un dessein aussi singulier que baroque .,other,-,-,-,-,-,1782_bc,adjective,dessin,-
et ces toiles ont encore été dans l'antiquité comme de nos jours chargées d'un dessin baroque de chimères et d'êtres fantastiques .,other,-,-,-,-,-,1773_e, 1773c, 1774i, 1777xxa, 1793t, 1794b (CHECK),adjective,dessin,amod
aux chartreux à s ferréol aux carmelites à s martin des tableaux des plus grands maîtres et quelques-uns peints par les derniers comtes d'anjou d'un dessin assez baroque .,other,-,-,-,-,-,1784f,adjective,dessin,amod
sort des rois sort des humains quel destin bizarre et baroque me fourra parmi ces vauriens .,other,-,-,-,-,-,1788_m, 1789xm, 1790u,adjective,destin,-
je veux pourtant chanter de ma voix rauque ce valory ce fameux champion qui par l'effet de son destin baroque des prussiens fut le palladion et pour lequel se fit mainte blessure quand les housards fins et rusés matois de l'enveler essayant l'aventure autour du camp venaient en tapinois .,other,-,-,-,-,-,1788b, 1788jja, 1789_ac, 1789io, 1790ccd,adjective,destin,amod
je veux pourtant chanter de ma voix rauque ce valory ce fameux champion qui par l'effet de son destin baroque des prussiens fut le palladion .,other,-,-,-,-,-,1789xm,adjective,destin,amod
on est d'abord étonné de voir une disposition si baroque et si peu propre à faire honneur aux talents du vice grand maitre .,other,-,-,-,-,-,1786d, 1786l,adjective,disposition,amod
reponse du chevalier à cet argument par la distinction baroque et confuse des causes matérielle et formelle efficient et finale .,other,-,-,-,-,-,1771z,adjective,distinction,amod
voilà déjà une distinction assez baroque et qui pourrait bien déceler un petit coup de marteau .,other,-,-,-,-,-,1782ca, 1782xk, 1782xl,adjective,distinction,amod
mais quelque chinois que saient les chinois il n'est pas possible qu'ils fassent usage d'une échelle si baroque .,other,-,-,-,-,-,1791a,adjective,échelle,amod
la beauté sans manière offre un éclat baroque et l'esprit sans jargon est d'un bourgeois qui choque .,other,-,-,-,-,-,1737c, 1738, 1758, 1758cca, 1766a, 1768c, 1773a, 1784ffa,adjective,éclat,amod
c'est pourquoi ils ont imaginé une écriture baroque illisible dont tous les caractères sont extrêmement gros et étendus .,other,-,-,-,-,-,1782xd, 1783wa, 1792l,adjective,écriture,amod
cette écriture est si baroque qu'on pourrait la lire en vingt façons différentes .,other,-,-,-,-,-,1778l, 1784ffa,adjective,écriture,nsubj
dans cet édifice baroque elles se promenent dans l'eau où elles se nourrissent de plantes aquatiques .,other,-,-,-,-,-,1773_k, 1777_d, 1777jja, 1777xxxd, 1778nv, 1779_g, 1779_we, 1782_wd,adjective,édifice,amod
il fit une enterprise baroque .,other,-,-,-,-,-,1768h,adjective,enterprise,amod
quel baroque entretien .,other,-,-,-,-,-,1747e, 1758g, 1771m, 1777c, 1785_a, 1785o, 1787p, 1788o, 1797l,adjective,entretien,?
alors je jetai pour la première fois les yeux sur ce valet si apprivoisé et je reconnus malgré un équipage tout-à-fait baroque l'abbé de gaudigny neveu de notre abbesse .,other,-,-,-,-,-,1782xt,adjective,équipage,amod
quittés le baroque esclavage qu'elle vous impose .,other,-,-,-,-,-,1787ffa,adjective,esclavage,amod
pour connaître le pouvoir de l'amour il faut observer son effet sur deux êtres de cette espèce baroque .,other,-,-,-,-,-,1786g,adjective,espèce,amod
la préface courte burlesque et bouffonne qui se trouve à la tête annonce une tournure d'esprit singulière et baroque .,other,-,-,-,-,-,1776g,adjective,esprit,-
disons doc que si le saint était monliniste loin de le regarder comme le plus grand génie qu'il y ait eu il faut le regarder au contraire comme l'esprit le plus baroque et le plus de travers .,other,-,-,-,-,-,1752m,adjective,esprit,amod
toujours dans le plaisir je vis dans ma bicoque je n'y reçais jamais aucun esprit baroque .,other,-,-,-,-,-,1764i,adjective,esprit,amod
esprit baroque qui ne pense pas qui ne voit pas comme les autres .,other,-,-,-,-,-,1778y, 1788,adjective,esprit,amod
n'y a-t-il pas aussi un peu d'âcreté dans ce que vous dites de m le miere dont vous blâmez l'esprit baroque et le peu de goût .,other,-,-,-,-,-,1774o,adjective,esprit,amod
il faudrait avoir l'esprit bien baroque pour soutenir que l'électeur palatin se sait laissé subjuguer par une crainte ou surprendre par les manéges du cabinet de vienne .,other,-,-,-,-,-,1780e,adjective,esprit,amod
mais comme c'est un esprit baroque il voudrait de l'extraordinaire et il m'a chargé de lui chercher un poète et un musicien .,other,-,-,-,-,-,1780t, 1784r,adjective,esprit,amod
oh lui c'est un esprit baroque dont nous rendrons bon compte .,other,-,-,-,-,-,1789c,adjective,esprit,amod
si je ne m'y rends pas traitez moi d'esprit baroque de mauvais raisonneur .,other,-,-,-,-,-,1778, 1784ja,adjective,esprit,amod
sais-tu qu'en honneur ces français ont une tournure d'esprit baroque .,other,-,-,-,-,-,1798_bc,adjective,esprit,amod
il serait plus en état qu'un autre de remplacer par là le défaut de talent et de génie si cet esprit était moins baroque et qu'il fut accompagné de plus de goût .,other,-,-,-,-,-,1763i, 1772d, 1773q,adjective,esprit,nsubj
nous ne dissimulerons pas qu'il serait plus en état qu'aucun autre de remplacer par là le défaut de poésie et de versification si cet esprit était moins baroque et dirigé par un goût plus sur et plus exercé .,other,-,-,-,-,-,1774jja, 1775uo, 1778ui, 1779a,adjective,esprit,nsubj
c'est chez la marquise de felcourt que j'ai entendu le concert dont l'éxécution baroque m'a fourni le détail que je viens de vous faire .,other,-,-,-,-,-,1764o,adjective,éxécution,amod
mais voyant ensuite comme moi que cette hypothèse ne pouvait satisfaire qu'à quelques cas particuliers il en vient à l'explication la plus baroque .,other,-,-,-,-,-,1780i,adjective,explication,amod
expression baroque comune en certaines provinces .,other,-,-,-,-,-,1787xn,adjective,expression,amod
traiter d'emblée est un expression baroque .,other,-,-,-,-,-,1787xe,adjective,expression,amod
au milieu du palais royal en voit une grande redoute dont l'éxtérieur est chinois ou baroque .,other,-,-,-,-,-,1796j,adjective,éxtérieur,-
le procès de m le comte de guines a effetivement été jugé avant hier au châtelet d'une façon très baroque .,other,-,-,-,-,-,1777, 1780a, 1784y, 1785q,adjective,façon,amod
pour ma figure tout ce monde qui est dans votre salle décidera en ma faveur qu'elle n'est pas si baroque que la votre .,other,-,-,-,-,-,1728, 1732za, 1738a, 1783xxa,adjective,figure,-
des effets contraires ne pourraient donc nous montrer rien que de dur de désagréable de difforme de hideux enfin d'effroyable et ces effets ne peuvent être causés que par des objets d'une figure irrégulière baroque pour par un composé monstreux et disproportioné de différentes figures .,other,-,-,-,-,-,1748e,adjective,figure,-
car monsieur ne vous en déplaise grace à ma charge j'en avais un bon nombre malgré ma figure baroque .,other,-,-,-,-,-,1741a,adjective,figure,amod
qu'y a-t-il de nouveau demande son altesse à cette figure baroque .,other,-,-,-,-,-,1741a,adjective,figure,amod
regardez sa figure baroque .,other,-,-,-,-,-,1741a,adjective,figure,amod
nous l'appellerions en français une outre et pour dire la verité sa figure baroque qui ressemble un peu à celle d'une cruche à deux cols n'invite point à fiare connaissance avec lui .,other,-,-,-,-,-,1760k,adjective,figure,amod
on observera ici qu'on ne prescrit les cerceaux que pour les seuls arbres de figure baroque qui poussent follement .,other,-,-,-,-,-,1767h, 1767sn, 1770i,adjective,figure,amod
celle ci est d'une figure baroque dans toutes ses parties garnie de six côtes longitudinales chargées plus ou moins de feuillages irréguliers déchiquetés de couleur brune et enfumée aplatis et obtus principalement à la rangée qui borde la lèvre et où ces feuillages se prolongent en forme de pattes de crapaud .,other,-,-,-,-,-,1775c,adjective,figure,amod
elle est dit m l'abbé favart d'une figure baroque dans toutes ses parties garnie de six côtes longitudinales chargées plus ou moins de feuillages irréguliers déchiquetés de couleur brune aplatis et obtus principalement à la rangée qui borde la levre et où ces feuillages se prolongent en forme de pattes de crapaud .,other,-,-,-,-,-,1775xxxd,adjective,figure,amod
ce qui donne au tout une figure baroque .,other,-,-,-,-,-,1790a, 1791f, 1797_bc, 1798k,adjective,figure,amod
toutefois on observe que les cerceaux ne sont nécessaires que pour les seuls arbres de figure baroque qui possent follement .,other,-,-,-,-,-,1797j,adjective,figure,amod
ma couleur n'est pas éclatante ma figure est baroque et toujours différente .,other,-,-,-,-,-,1772s,adjective,figure,nsubj
le prince était honteux de paraître devant sa maîtresse sous une forme si baroque .,other,-,-,-,-,-,1731_wa, 1786z, 1787iu,adjective,forme,amod
cette vignette est renfermée dans une bodure de forme baroque enrichie de trophées d'armes par le haut et par les côtés avec des palmes et des lauriers au bas des deux côtés d'un cartel où dont des armes .,other,-,-,-,-,-,1774,adjective,forme,amod
qu'est ce que tant d'autres lits de forme baroque et d'origine étrangère que nous n'avons pas rougi d'emprunter à des turcs à des polonois à des italiens .,other,-,-,-,-,-,1779xxa, 1779y,adjective,forme,amod
les noms classiques d'amaryllis de silvie de mirthille frappent d'étonnement dans la foule baroque de plantes obscures et sans propriétés comme hemerocalle macre arroche .,other,-,-,-,-,-,1794xxa, 1795,adjective,foule,amod
des cazeaux des granges m demeurant à londres a traduit de l'anglois en français baroque la prétendue veuve et composé dans le même style la femme jalouse .,other,-,-,-,-,-,1776xg,adjective,français,amod
mais s'il modulait ce même air avec les façons de l'opéra elle s'en moquerait et elle accuserait le galant de pindariser d'être baroque .,other,-,-,-,-,-,1737g,adjective,galant,-
comment un aussi joli homme que lui a t il été choisir un habillement aussi baroque .,other,-,-,-,-,-,1753e,adjective,habillement,amod
