sense,sentence
other,huit sujets de danse joueur d'instrument genre baroque peint en mignature d'un beau faire .
other,quelques artistes se sont élevés contre ce genre baroque mais la multitude ignorante a conservé ses préjugés et suivi le torrent .
other,des cazeaux des granges m demeurant à londres a traduit de l'anglois en français baroque la prétendue veuve et composé dans le même style la femme jalouse .
other,les noms classiques d'amaryllis de silvie de mirthille frappent d'étonnement dans la foule baroque de plantes obscures et sans propriétés comme hemerocalle macre arroche .
other,il a la fantaisie baroque de jouer un rôle dans la grande tragédie sans cannoniers sans artilleurs .
other,le procès de m le comte de guines a effetivement été jugé avant hier au châtelet d'une façon très baroque .
other,et que cette expression baroque veut dire jusqu' au dernier soupir .
other,expression baroque comune en certaines provinces .
other,l'épaule le coude et la main forment souvent un triangle vertical ce qui la fait pagoder si j'ose créer cette expression baroque mais qui rend ma pensée .
other,traiter d'emblée est un expression baroque .
other,mais voyant ensuite comme moi que cette hypothèse ne pouvoit satisfaire qu'à quelques cas particuliers il en vient à l'explication la plus baroque .
other,c'est chez la marquise de felcourt que j'ai entendu le concert dont l'éxécution baroque m'a fourni le détail que je viens de vous faire .
other,disons doc que si le saint était monliniste loin de le regarder comme le plus grand génie qu'il y ait eu il faut le regarder au contraire comme l'esprit le plus baroque et le plus de travers .
other,il faudroit avoir l'esprit bien baroque pour soutenir que l'électeur palatin se soit laissé subjuguer par une crainte ou surprendre par les manéges du cabinet de vienne .
other,mais comme c'est un esprit baroque il voudroit de l'extraordinaire et il m'a chargé de lui chercher un poète et un musicien .
other,n'y a-t-il pas aussi un peu d'âcreté dans ce que vous dites de m le miere dont vous blâmez l'esprit baroque et le peu de goût .
other,oh lui c'est un esprit baroque dont nous rendrons bon compte .
other,sais-tu qu'en honneur ces français ont une tournure d'esprit baroque .
other,si je ne m'y rends pas traitez moi d'esprit baroque de mauvais raisonneur .
other,toujours dans le plaisir je vis dans ma bicoque je n'y reçois jamais aucun esprit baroque .
other,quittés le baroque esclavage qu'elle vous impose .
other,alors je jetai pour la première fois les yeux sur ce valet si apprivoisé et je reconnus malgré un équipage tout-à-fait baroque l'abbé de gaudigny neveu de notre abbesse .
other,il fit une enterprise baroque .
other,c'est pourquoi ils ont imaginé une écriture baroque illisible dont tous les caractères sont extrêmement gros et étendus .
other,la beauté sans manière offre un éclat baroque et l'esprit sans jargon est d'un bourgeois qui choque .
other,mais quelque chinois que soient les chinois il n'est pas possible qu'ils fassent usage d'une échelle si baroque .
other,reponse du chevalier à cet argument par la distinction baroque et confuse des causes matérielle et formelle efficient et finale .
other,voilà déjà une distinction assez baroque et qui pourroit bien déceler un petit coup de marteau .
other,on est d'abord étonné de voir une disposition si baroque et si peu propre à faire honneur aux talents du vice grand maitre .
other,je veux pourtant chanter de ma voix rauque ce valory ce fameux champion qui par l'effet de son destin baroque des prussiens fut le palladion et pour lequel se fit mainte blessure quand les housards fins et rusés matois de l'enveler essayant l'aventure autour du camp venaient en tapinois .
other,je veux pourtant chanter de ma voix rauque ce valory ce fameux champion qui par l'effet de son destin baroque des prussiens fut le palladion .
other,refusons plutôt au grecs toute espèce d'harmonie que de leur attribuer une désinence harmonique de cette espèce désinence plus baroque que notre ton du quart et notre tierce de picardie .
other,rosanie est dans le genre de la féerie et avec tout l'appareil du merveilleux ne présent qu'une intrigue très commune et un dénouement baroque dénué de sens commun .
other,c'est en effet ce qui se pratique lorsque le conseil d'état se relâchant du despotisme odieux qu'il exerce ouvertement sur les communautés sur l'injuste prétexte d'un droit imaginaire auquel il a donné la baroque dénomination de droit de haute police il ne leur ferme pas la porte de justice en leur refusant net le secours des tribunaux et les jugeant prévotablement .
other,de là il tombe à corps perdu comme du troisième ciel sur son prêche qui n'est qu'une course baroque par monts et par vaux .
other,d'où l'on pouroit conclure qu'il auroit trompé ce prince qu'il se seroit moqué de lui en lui faisant présent d'un copie aussi baroque aussi informe .
other,dites vous monsieur de ce conte baroque .
other,je ne crois pas qu'il puisse y avoir une construction plus baroque que celle de ces vers .
other,la bonne grace du pitaut reparoit assez le défaut de sa construction baroque et les peu séduisants appas du nez camus n'invitoient pas a profiter de l'équivoque .
other,comment ne pas rire de ces anglais si fiers de leur constitution baroque royale mobiliaire aristocratique et qui nous dénigrent lorsque nous travaillons à nous en donner une ui doit nous garantir de tout le mal qu'ils nous reprochent d'avoir fait et nous guérir de celui que nous ont fait les rois dont ils sont encore les rampans idolatres .
other,je suis persuadé qu'il n'y eut tout au plus que quelques vieilles qui trouverent bonne cette consequence et que toutes les jeunes au contraire auroient souhaité de tout leur coeur de faire une fréquente expérience du principe dont le prédicateur avoit tiré sa conclusion baroque .
other,ils exécutaient des morceaux très difficiles sans clopiner le moins du monde et l'entrepreneur de ce concert baroque me dit qu'il se faisoit fort de styler en six mois par la méthode en question quarante sujets qui ne fussent pas la musique en fixant l'attention du monotone à un seul ton à exécuter à livre ouvert les morceaux de musique les plus difficiles .
other,je lui dirai ma façon de penser avec modération et je me dirai que je ne dois pas être excepté de la nombreuse classes de ceux qui fonts des ingrats quoiqu'il en soit voilà une bonne affaire finie que l'acuittement de ce compte baroque .
other,termes prétieux que l'on ne prononce point sans pincer les lèvres assortiments monstrueux des grotesques de la néologie et le comportement baroque le métalent ridicule la bouffissure éfarée du jargon à la mode .
other,il y auroit encore bien d'autre choses à apprendre à m m comme à ne pas faire de comparaison aussi baroque que celle d'un médecin et son malade avec un cocher et ses chevaux à se désier de ses idées auprès des malades à disserter moins et à s'entendre mieux .
other,si la comparaison baroque du médecin de saint germain avec le médecin de cos faite au même endroit était proposable ce ne pourroit être à cause de la médecine originale du premier .
other,elle n'aurait pas été capable de faire un choix si baroque .
other,le tout fut accompagné par une musique ou chant chinois fort baroque et des plus désagréables quoique cadencé ou mesuré et qu'ils exécuterent principalement devant la couleuvre en lui faisant faire en même temps différents mouvements très singuliers .
other,admirable dans un petit nombre de scènes mauvais presque partout ailleurs ce qui est peut-être autant la faute du genre que la sienne car c'est souvent pour avoir trop voulu s'asservir à la déclamation qu'il a rendu son chant baroque et ses transitions dures .
other,car c'est souvent pour avoir trop voulu s'asservir à la déclamation qu'il a rendu son chant baroque et ses transitions dures .
other,un oiseau dont la voix est rauque peut il d'un chant aussi baroque vous faire ouir de médiocres sons .
other,cette cérémonie baroque a duré trois heures .
other,nous y vîmes une cérémonie baroque .
other,amelot qui le savoit bien lui demanda pourquoi il ne s'était pas contenté de censurer en gros quelques propositions de quesnel qu lieu de faire une censure baroque de cent et une .
other,quelque censeur baroque qui demande du goût de la précision et de la vrai semblance par tout trouvera peut-être cette exhortation beaucoup trop longue pour un mourant .
other,c'est un caractère baroque .
other,car quelles oreilles autres que celles d'un physiologiste ou d'un anatomiste familiarisés avec les phrases tirées du grec pourroient patiemment supporter l'articulation baroque du moins par rapport à notre langue des mots cricoïdes geniohydiens stylo cerato-hydiens nio-hyoïdiens milo-hyoïdiens coraco-certo-hyoïdiens pharo-gastophilins employés pour désigner les fonctions des divers muscles qui concourent à la déglutition .
other,cet arrangement baroque fut accepté .
other,mais quel arrangement baroque dans ces expressions .
other,adieu m le démonstrateur avec votre démonstration je vous jure que si vous avez voulu me démonstrer la confusion de vos idées et le néant de votre système vous avez parfaitement réussi dans votre argument baroque que vous venez afficher ici pour une démonstration .
other,après cet argument baroque chacun opine de la toque .
other,ces trois termes font un argument baroque auquel un sauvage n'est pas en plus état de résister qu'un huguenot .
other,d'où l' on tire un argument baroque pour prouver que tous les hommes sont obligés de subir la circoncision .
other,lorsque je voyois que le sommeil alloit rallentir leur feu je poussois de mon palanquin un argument aussi baroque que leurs faces .
other,après quoi un chanteur aussi du premier ordre nous heurla avec des nazonnemens insupportables l'air le plus mélancoliquement baroque qu'il soit possible d'entendre .
other,il chante l'air le plus baroque et le plus ancien .
other,on appelle un homme de goût un homme qui sait les vaudevilles du temps et qui les a de la première main qui fait quelquefois une parodie sur un air baroque que la protection d'une femme a mis à la mode .
other,on s'embarrasse très peu que le pièce soit bonne ou mauvaise pourvû qu'en sortant du spectacle et en pirouettant sur un talon rouge on puisse frédonner quelques mesures d'un air bien baroque qui n'ait pas la moindre analogie avec les paroles .
other,il est vrai qu'il a l'accent un peu baroque aussi bien que nous .
other,le titre en est très baroque et très long .
other,mais en conscience convenez donc que la tendresse des vieilles gents est baroque .
other,la phrase en elle même est baroque .
other,la musique qui est du sieur rameau est à son ordinaire baroque et fort médiocre dans le cours de la pièce mais admirable dans les choeurs .
other,le mérite est toujours baroque .
other,l'ancienne manière de placer les pelotons et compagnies dans le bataillon était assez baroque et n'était fondée sur aucune raison qui méritât quelque considération .
other,cette loi seroit baroque en ce qu'elle permettroit à un ecclésiastique d'avoir trente mille livres de revenu en un seul bénéfice et ne lui permettroit pas d'avoir en deux ou plusieurs bénéfices plus de trois mille livres .
other,cette loi seroit encore baroque dans le cas où ecclésiastique très propre à l'état de curé désirant même de se rendre utile dans l'état pastoral et possesseur d'un bénéfice simple plus riche que la plupart des cures seroit nommé curé d'un paroisse .
other,figaro se pique d'être grammairien quoique son langage soit souvent baroque et qu'en se servant de termes didactiques il les estropie par fois je le lui pardonne .
other,l'intrigue des comedies est souvent aussi baroque et aussi monstrueuse que celle des pièces tragiques .
other,votre rameau il est sec il est sauvage il n'a jamais su arranger un partition il n'a jamais de chant son harmonie est si baroque si revêche .
other,les seconds que cela choque disent que gluck est baroque qu'en france avant son époque le vrai beau se décida .
other,les seconds que cela choque disent que gluck est baroque .
other,la frase en elle même est baroque .
other,il seroit plus en état qu'un autre de remplacer par là le défaut de talent et de génie si cet esprit était moins baroque et qu'il fut accompagné de plus de goût .
other,nous ne dissimulerons pas qu'il seroit plus en état qu'aucun autre de remplacer par là le défaut de poésie et de versification si cet esprit était moins baroque et dirigé par un goût plus sur et plus exercé .
other,cette écriture est si baroque qu'on pourroit la lire en vingt façons différentes .
other,au surplus une ortographe ridicule et une composition bizarre forment tout ce qu'il y a de remarquable dans cet ouvrage où comme dans les autres productions de m de la bretonne l'auteur n'a été que baroque en se persuadant qu'il était original .
other,mais ces airs peuvent aussi n'avoir de sens que par le souvenir des paroles comme dans l'autre exemple où l'air insignificant et baroque ne fait que déplaire à l'oreille s'il on ne se rappelle pas que dans une situation semblable on a entendu sur ce même air la mère dire à sa fille .
other,pour avoir un peu exactement ce plan baroque de la caverne je fis tendre un cordeau marqué de toise en toise depuis la porte du mur circulaire jusqu'au fond de la grotte .
other,ainsi on dit un esprit un goût un ouvrage une pensée baroque .
other,le nouveau couple commence sa carrière à la sortie de la cage prend maison et un nom qui étant composé des deux moitiés des familles respectives est toujours baroque va à la cour où il est fort fêté brigue des emplois et obtient tout ce qu'il désire parce que ceux qui briguent pour lui sont les maisons d'où il sort .
pearl,ordinairement elles avoient une belle eau mais leur forme était presque toujours irrégulière et baroque .
pearl,les grandes et les petites prennent une forme régulière comme celle d'une petite poire d'une olive d'un globe ou bien une forme anguleuse et baroque selon que le premier peloton de suc durci ou caillé qui a servi de noyau et de base aux couches postérieurement appliquées était lui-même régulier ou irrégulier dans sa figure .
pearl,les grandes et les petites prennent une forme régulière comme celle d'une petite poire d'une olive d'une globe ou bien une forme anguleuse et baroque .
pearl,un perle d'orient forme en poire baroque doux un peu plombée d'un côté pesant vingt cinq grains ou six karats quatre seizes estimée deux cents livres .
pearl,une perle d'orient forme en poire baroque doux et percée pesant vingt trois grains deux seizes ou cinq karats quatorze seizes estimée trois cent livres .
pearl,une perle de bel orient forme un peu baroque deux percés en deux endroits pesant quarante neuf grains trois seizes ou douze karats sept seizes estimée cinq cents livres .
pearl,une perle forme losange un peu baroque ayant plusieurs ondulations sous le dessous percée à deux endroits de bel orient pesant 41 grains deux seizes ou dix karats six seizes estimée quatre cents livres .
pearl,une perle d'orient un peu nacreuse ovale un peu baroque étant percée à deux endroits pensant quatre huit grains ou douze karats septs seizes estimée cinq cents livres .
pearl,une perle de bel orient forme en poire un peu baroque et percée pesant soixante six grains deux seizes ou  seize karats dix seize estimé huit cents libres .
pearl,une perle de bel orient forme en poire un peu baroque un fort cran dans la partie du haut et un peu matte dans celle du bas percée pesant cinquante-quatre grains deux seizes ou treize karats dix seizes estimées quatre cents livres .
pearl,une perle de bel orient forme ovale baroque ayant une côte et percée pesant soixant douze grains trois seizes ou dix huit karats trois seizes estimée douze cents livres .
pearl,ainsi nous disons perle en pointe ou en poire perle ronde perle ovale perle baroque .
pearl,covarruvias au mot barrueco dit que ce mot espagnol qui signifie une perle baroque a été fait du latin verruca à cause de la ressemblance de ces perles à des verrues .
pearl,qu'est-ce que borneo au prix de bisnagar et quelle comparaison y a-t-il entre une perle baroque et une perle parfaite .
pearl,tympania de pline est une espèce de perle baroque que nos joalliers nomment tambourins elle a la figure d'une tymballe .
pearl,une perle baroque d'une volume extraordinaire creusée en forme de flacon et ornée d'un couvercle et d'une chaine d'or .
pearl,une perle baroque et de vilaine eau de quelque poids qu'elle soit ne sauroit valoir la fameuse pèregrine .
pearl,une perle baroque très joliment montée en or émaillé .
pearl,une perle d'orient un peu nattée forme baroque doux ayant des ondulations une gersure un peu jaunâtre et percée pesant cinquante-deux grains deux seizes ou treize karats deux seizes estimée cinq cents livres .
